index, timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
1, 2025/02/26 09:24:42.130, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:43.130, 90 %, 83 %, 19617 MiB
1, 2025/02/26 09:24:43.131, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:44.132, 89 %, 81 %, 19617 MiB
1, 2025/02/26 09:24:44.132, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:45.133, 87 %, 79 %, 19617 MiB
1, 2025/02/26 09:24:45.134, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:46.134, 88 %, 81 %, 19617 MiB
1, 2025/02/26 09:24:46.135, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:47.135, 91 %, 83 %, 19617 MiB
1, 2025/02/26 09:24:47.136, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:48.137, 78 %, 71 %, 19617 MiB
1, 2025/02/26 09:24:48.138, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:49.138, 62 %, 56 %, 19617 MiB
1, 2025/02/26 09:24:49.139, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:50.140, 91 %, 83 %, 19617 MiB
1, 2025/02/26 09:24:50.141, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:51.142, 91 %, 84 %, 19617 MiB
1, 2025/02/26 09:24:51.142, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:52.143, 91 %, 84 %, 19617 MiB
1, 2025/02/26 09:24:52.144, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:53.144, 88 %, 81 %, 19617 MiB
1, 2025/02/26 09:24:53.145, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:54.146, 95 %, 88 %, 19617 MiB
1, 2025/02/26 09:24:54.205, 0 %, 0 %, 5 MiB
